web-scraper-order,Name,Image-src,Category,Ig_Follow,eng_rate,est_Reel_play,Avg_like,Avg_Comments,yt_subs,views(30 days),total_views,uplaods,yt_links-href,insta_link-href
1708342331-29,Doondefenceacademy Dehradun,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/3581092636.jpg,Defence,4729.0,0.57%,1176.0,27.0,,,,,,,https://www.instagram.com/doondefenceacademy
1708342340-30,Jitendra Gupta,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/2256586155.jpg,Defence,4943.0,0.15%,3960.0,3.0,4.0,,,,,,https://www.instagram.com/jitendra95gupta
1708342348-31,Indian Defence Updates,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7995331210.jpg,Defence,5404.0,1.52%,889.0,81.0,0.0,,,,,,https://www.instagram.com/indiandefenceupdat
1708342357-32,Jitu Kumar,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/43828199424.jpg,Defence,5579.0,3.08%,1386.0,165.0,6.0,,,,,,https://www.instagram.com/army_boy_godda
1708342364-33,Defence Matrix,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/32277911353.jpg,Defence,5773.0,4.34%,1908.0,249.0,1.0,176000.0,1255028.0,57656520.0,1364.0,https://www.youtube.com/channel/UCw6U3cnGZb4dbmnB-zhhJLQ,https://www.instagram.com/defence_matrix
1708342371-34,MILITARY GALLARY,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/9486404309.jpg,Defence,6040.0,3.63%,212.0,218.0,1.0,,,,,,https://www.instagram.com/indian_defences
1708342379-35,🇰 🇺 🇲 🇦 🇴​ 🇳  🇷 🇪 🇬 🇮 🇲 🇪 🇳 🇹,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/10750604249.jpg,Defence,6178.0,4.92%,2478.0,300.0,3.0,,,,,,https://www.instagram.com/kumaon_regiment
1708342386-36,BE FOJJI ORGANISATION TRUST,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4269684048.jpg,Defence,6565.0,4.80%,11281.0,310.0,4.0,,,,,,https://www.instagram.com/befojji
1708342394-37,Anu Bakshi,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/1407578857.jpg,Defence,6698.0,10.51%,4199.0,694.0,9.0,,,,,,https://www.instagram.com/anujaggi173
1708342401-38,uplabdhi_physical_academy,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/38923745456.jpg,Defence,6758.0,3.29%,2985.0,216.0,6.0,,,,,,https://www.instagram.com/uday_foji
1708342409-39,B A L I D A N YT,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/51343455770.jpg,Defence,6785.0,41.72%,22981.0,2807.0,23.0,,,,,,https://www.instagram.com/balidanyt_official
1708342416-40,Sabarkantha Police,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/21688506573.jpg,Defence,6900.0,1.14%,3444.0,78.0,,,,,,,https://www.instagram.com/sabarkantha_police
1708342421-41,Wg Cdr Ashim Kapoor,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/15610713687.jpg,Defence,7656.0,6.67%,2438.0,506.0,2.0,,,,,,https://www.instagram.com/kapoor.ashim
1708342428-42,Viru Fouji Defence Academy Jaipur,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4976132349.jpg,Defence,8216.0,2.16%,2228.0,175.0,1.0,880000.0,176110.0,109140663.0,1507.0,https://www.youtube.com/channel/UCx5C84aC_hlTiDXhZL5f2RA,https://www.instagram.com/virufouji
1708342434-43,Rakesh Singh Chauhan,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/37491521701.jpg,Defence,8243.0,1.92%,5367.0,157.0,1.0,,,,,,https://www.instagram.com/wingstowheels
1708342441-44,Guarding India,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7899000497.jpg,Defence,8281.0,9.95%,3946.0,822.0,1.0,,,,,,https://www.instagram.com/guardingindia
1708342447-45,Rupjyoti Phukan,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/1735812585.jpg,Defence,8452.0,6.00%,9923.0,498.0,8.0,,,,,,https://www.instagram.com/phukanrupjyoti
1708342454-46,LCA Tejas Fanpage,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/41059807302.jpg,Defence,8937.0,0.92%,13336.0,81.0,1.0,,,,,,https://www.instagram.com/lca_tejas_
1708342461-47,Indian Defence Reforms,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/13339643867.jpg,Defence,8969.0,2.63%,76.0,234.0,1.0,12200.0,321.0,940707.0,32.0,https://www.youtube.com/channel/UC3vh9o0SOt8hDHyE3Lm10Pw,https://www.instagram.com/indiandefencereforms
1708342468-48,𝐌𝐨𝐭𝐢𝐯𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐖𝐨𝐫𝐥𝐝,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7508932947.jpg,Defence,9570.0,1.23%,13740.0,116.0,1.0,,,,,,https://www.instagram.com/motivationalworld841
1708342483-49,Akash Padhiyar (AkashSir.com),,Science & Technology,3168.0,6.06%,3441.0,191.0,0.0,14700.0,12242.0,1579298.0,494.0,https://www.youtube.com/channel/UCZZcZpfPo1NkU74jc8dHO_A,https://www.instagram.com/akashsirdotcom
1708342491-50,Manish | Sql & Database Developer,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/33796626.jpg,Science & Technology,3246.0,0.86%,756.0,26.0,1.0,103000.0,181717.0,20666423.0,374.0,https://www.youtube.com/channel/UCQYO2p7JMcCp-9xIZxGP2Sg,https://www.instagram.com/rebellionrider
1708342498-51,NETWORKERS HOME,,Science & Technology,3466.0,57.52%,,1980.0,13.0,17900.0,15706.0,1919718.0,751.0,https://www.youtube.com/channel/UCWLd8VySHjRnfPWyvFpZGZw,https://www.instagram.com/networkers.home
1708342505-52,Suresh Techs,,Science & Technology,3495.0,6.88%,3453.0,225.0,15.0,,,,,,https://www.instagram.com/sureshtechs
1708342513-53,KIRAN PATWARDHAN,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/24988017142.jpg,Science & Technology,3568.0,0.70%,124.0,21.0,3.0,,,,,,https://www.instagram.com/kiranpatwardhan01
1708342521-54,Debabrata | Graphic Designer,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/10020213363.jpg,Science & Technology,3771.0,1.10%,1224.0,40.0,0.0,,,,,,https://www.instagram.com/debabrataduttain
1708342528-55,Log2Base2®,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/5877162833.jpg,Science & Technology,3805.0,1.84%,1553.0,68.0,1.0,,,,,,https://www.instagram.com/log2base2
1708342535-56,bhavesh shaha | marketing,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7097643101.jpg,Science & Technology,3844.0,19.00%,22907.0,659.0,71.0,,,,,,https://www.instagram.com/basicallybhavesh
1708342542-57,Mousmi Guru,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7885690888.jpg,Science & Technology,4001.0,8.62%,1810.0,277.0,67.0,,,,,,https://www.instagram.com/mousmiguru
1708342549-58,Amita Singh,,Science & Technology,4124.0,1.29%,856.0,51.0,1.0,,,,,,https://www.instagram.com/techie_life_style
1708342555-59,Android Coding,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/10644861962.jpg,Science & Technology,4296.0,3.02%,,126.0,3.0,,,,,,https://www.instagram.com/androidcoding_
1708342562-60,Code Eater,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/48372361300.jpg,Science & Technology,4475.0,2.91%,1144.0,120.0,9.0,,,,,,https://www.instagram.com/codeeater21
1708342569-61,Prateek Narang,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/5439799247.jpg,Science & Technology,4524.0,4.48%,4070.0,196.0,6.0,,,,,,https://www.instagram.com/prateeknarang27
1708342576-62,Luv,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4047813135.jpg,Science & Technology,4536.0,14.55%,5182.0,657.0,2.0,177000.0,215310.0,13040564.0,160.0,https://www.youtube.com/channel/UCDzhFuVYou1D8w1ABZo3b9A,https://www.instagram.com/i._m_.luv
1708342582-63,Skillshort Edulife Pvt Ltd,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/5859864285.jpg,Science & Technology,4741.0,0.61%,777.0,28.0,0.0,18000.0,21657.0,1174863.0,346.0,https://www.youtube.com/channel/UC-AO5w0i1c9LRHvYdnP2__w,https://www.instagram.com/iskillshort
1708342590-64,Code for Cause,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/33973425152.jpg,Science & Technology,4750.0,1.24%,861.0,58.0,0.0,66600.0,4143.0,826051.0,260.0,https://www.youtube.com/channel/UCfv8cds8AfIM3UZtAWOz6Gg,https://www.instagram.com/codeforcause
1708342596-65,Ethical Hacker - Gopikrishna,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/5812360949.jpg,Science & Technology,4761.0,3.39%,4311.0,158.0,2.0,,,,,,https://www.instagram.com/eh_gopikrishna
1708342603-66,Java | Python | Coding Stuff,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/15995268016.jpg,Science & Technology,4807.0,3.30%,9560.0,148.0,10.0,,,,,,https://www.instagram.com/codesthaan
1708342609-67,graphic Designer | Creator | social media manager,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/42067303020.jpg,Science & Technology,4812.0,1.17%,340.0,54.0,1.0,,,,,,https://www.instagram.com/graphicemotions
1708342617-68,Testing Shastra,,Science & Technology,4959.0,1.08%,3376.0,43.0,10.0,1910.0,1762.0,79245.0,91.0,https://www.youtube.com/channel/UCg_SUG_BAPtVUvTSKse2xBg,https://www.instagram.com/testingshastra
1708342623-69,Java By Kiran- The Kiran Academy,,Science & Technology,4994.0,0.98%,1959.0,44.0,0.0,,,,,,https://www.instagram.com/javabykiran
1708342628-70,BEPEC,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7012933873.jpg,Science & Technology,5178.0,0.19%,482.0,9.0,0.0,,,,,,https://www.instagram.com/bepec_solutions
1708342635-71,Techfosha Official,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7888067722.jpg,Science & Technology,5180.0,0.57%,234.0,28.0,1.0,,,,,,https://www.instagram.com/techfosha
1708342641-72,tamilhacks,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7459987336.jpg,Science & Technology,5186.0,4.37%,,219.0,7.0,134000.0,33057.0,4195793.0,367.0,https://www.youtube.com/channel/UCcKYZNaqxFlTK5W2dqh-i6A,https://www.instagram.com/tamilhacks0
1708342648-73,DevOps School,,Science & Technology,5338.0,1.47%,8016.0,77.0,0.0,,,,,,https://www.instagram.com/devopsschool
1708342655-74,FrizBee™ Digital,,Science & Technology,5389.0,1.45%,2998.0,76.0,1.0,,,,,,https://www.instagram.com/frizbeedigital
1708342662-75,Voice Of Telugu - Hacking,,Science & Technology,5433.0,2.03%,2824.0,109.0,0.0,140000.0,69237.0,5707089.0,114.0,https://www.youtube.com/channel/UCTaOl-lPhQxhfu2H23mm7RA,https://www.instagram.com/voiceofteluguhacking
1708342670-76,Manish Kumar Tiwari,,Science & Technology,5569.0,0.73%,3327.0,40.0,0.0,196000.0,191739.0,15743254.0,229.0,https://www.youtube.com/channel/UCKliIabx-RsHYTqjOiYegSg,https://www.instagram.com/softwaretestingbymkt
1708342678-77,Code for Interview,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/8581251531.jpg,Science & Technology,5646.0,2.06%,1312.0,111.0,4.0,,,,,,https://www.instagram.com/codeforinterview
1708342686-78,Vfx world,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/1450119220.jpg,Science & Technology,5715.0,2.11%,3366.0,118.0,2.0,132000.0,281302.0,9155868.0,531.0,https://www.youtube.com/channel/UCJonHhxNiYZbkCRiw_RBVtw,https://www.instagram.com/rajatsubhra
1708342694-79,Ashok IT,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/37383468668.jpg,Science & Technology,6308.0,1.39%,6523.0,80.0,6.0,,,,,,https://www.instagram.com/ashokitschool
1708342704-80,𝐒𝐇𝐑𝐢𝐒𝐇𝐀 𝐄𝐝𝐮𝐜𝐚𝐭𝐢𝐨𝐧,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/9483711691.jpg,Science & Technology,6406.0,0.43%,731.0,27.0,0.0,,,,,,https://www.instagram.com/shrisha_education
1708342713-81,Saurav Kumar,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/2225027458.jpg,Science & Technology,6484.0,0.80%,424.0,51.0,0.0,,,,,,https://www.instagram.com/thesinghsaurav
1708342722-82,Rajesh Kumar,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/10879502745.jpg,Science & Technology,6516.0,1.68%,1581.0,102.0,7.0,,,,,,https://www.instagram.com/geekyshow1
1708342731-83,Intelogik Solutions,,Science & Technology,6575.0,0.08%,452.0,5.0,,,,,,,https://www.instagram.com/shekharsalesforce
1708342740-84,DAuto India,,Science & Technology,6661.0,0.79%,,51.0,1.0,,,,,,https://www.instagram.com/dautoindia
1708342749-85,Vivek Kumar | Full Stack Developer 🇮🇳,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7982059859.jpg,Science & Technology,6666.0,1.00%,967.0,55.0,10.0,,,,,,https://www.instagram.com/digi_vivek
1708342758-86,Noob Hackers,,Science & Technology,7467.0,3.95%,5750.0,275.0,19.0,,,,,,https://www.instagram.com/noobhackersofficial
1708342767-87,Durgesh Kr. Tiwari,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4145317001.jpg,Science & Technology,7594.0,3.95%,5286.0,295.0,4.0,247000.0,1561674.0,42348611.0,1128.0,https://www.youtube.com/channel/UC-Gn7EgShAINFthjuzxi9PQ,https://www.instagram.com/durgesh_k_t
1708342775-88,Brandlitic,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/3966230021.jpg,Science & Technology,7608.0,0.06%,44.0,4.0,0.0,61200.0,218096.0,4665824.0,218.0,https://www.youtube.com/channel/UCF-uUxo43IPpnEwnR62WGlA,https://www.instagram.com/brandlitic
1708342784-89,Pepcoding,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/13955613022.jpg,Science & Technology,7697.0,1.28%,3769.0,94.0,4.0,175000.0,425087.0,28485247.0,5768.0,https://www.youtube.com/channel/UC7rNzgC2fEBVpb-q_acpsmw,https://www.instagram.com/pepcoding
1708342793-90,Machine Learning🧠 Hub,,Science & Technology,7895.0,0.53%,1246.0,40.0,1.0,,,,,,https://www.instagram.com/machine_learning_hub.ai
1708342802-91,Deepak EduWorld,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/2523890044.jpg,Science & Technology,8120.0,1.09%,6068.0,87.0,0.0,,,,,,https://www.instagram.com/deepakeduworld
1708342811-92,Hemant Sharma,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4521273065.jpg,Science & Technology,8714.0,0.51%,,39.0,4.0,,,,,,https://www.instagram.com/hridya.getpopularity
1708342821-93,ISRAR AHMED : DESIGN + CONTENT,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/33373627360.jpg,Science & Technology,8853.0,0.18%,644.0,15.0,0.0,,,,,,https://www.instagram.com/happilydesigning
1708342829-94,Adhitya | ஆதித்யா,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/1359167742.jpg,Science & Technology,8960.0,4.50%,8356.0,395.0,8.0,,,,,,https://www.instagram.com/that_coffeee_guy
1708342837-95,Malik Chandra,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/20465264519.jpg,Science & Technology,9136.0,0.21%,288.0,18.0,0.0,,,,,,https://www.instagram.com/yt_service_official
1708342846-96,MisterSingh1000 Web Developer,,Science & Technology,9167.0,0.00%,449.0,0.0,0.0,,,,,,https://www.instagram.com/mistersingh1000_techtips
1708342865-97,U M E S H ❤️‍🔥,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/12169279084.jpg,Science & Technology,333.0,4.39%,,3.0,11.0,243000.0,89587.0,34796635.0,602.0,https://www.youtube.com/channel/UCnz68ZFJ6MiEgsdklkVMXKQ,https://www.instagram.com/mainly___umya
1708342874-98,Ek Raaj,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/48207827343.jpg,Science & Technology,354.0,19.73%,279.0,66.0,3.0,,,,,,https://www.instagram.com/rajarvind210
1708342883-99,Shiva Kanaparthi,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/9676229101.jpg,Science & Technology,389.0,21.21%,670.0,77.0,4.0,,,,,,https://www.instagram.com/village_survivor
1708342891-100,Thedalai Thedi,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/42295230686.jpg,Science & Technology,390.0,2.79%,123.0,10.0,0.0,,,,,,https://www.instagram.com/thedalai_thedi
1708342900-101,Vikkravandi Ravichandran,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/46905443845.jpg,Science & Technology,412.0,0.94%,131.0,3.0,,94800.0,197293.0,17615957.0,1188.0,https://www.youtube.com/channel/UC8BgWUZnPt40c0ofllYIMjw,https://www.instagram.com/vikkravandiravichandran
1708342909-102,Dipayan Ray,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/2948395203.jpg,Science & Technology,415.0,6.60%,208.0,22.0,4.0,,,,,,https://www.instagram.com/3am.vlogs
1708342918-103,Gourab Tapadar,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/50355546916.jpg,Science & Technology,476.0,14.29%,672.0,59.0,9.0,604000.0,3662588.0,80526670.0,368.0,https://www.youtube.com/channel/UCnIAf07FOkMQk0-lw3WF2jA,https://www.instagram.com/pretkotha
1708342926-104,মৌলিক,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/22361599578.jpg,Science & Technology,485.0,2.35%,394.0,11.0,0.0,,,,,,https://www.instagram.com/moulikpageofficial
1708342935-105,Krishna K,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/5315286882.jpg,Science & Technology,509.0,9.23%,683.0,46.0,0.0,,,,,,https://www.instagram.com/krishnajaguar
1708342944-106,221 B Harrison Road,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/26201731573.jpg,Science & Technology,510.0,2.38%,170.0,11.0,0.0,,,,,,https://www.instagram.com/221b.harrisonroad
1708342952-107,Ayazrazaworld,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/48407876111.jpg,Science & Technology,527.0,6.24%,433.0,31.0,1.0,231000.0,380503.0,46150322.0,1021.0,https://www.youtube.com/channel/UCpLWa304HHdzjOsI33qjURg,https://www.instagram.com/iamraza96
1708342960-108,the.creepyman,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/29426668632.jpg,Science & Technology,604.0,41.14%,,230.0,17.0,95100.0,22097.0,8036262.0,155.0,https://www.youtube.com/channel/UCr9D0z_2T80MVMaL2yRa46w,https://www.instagram.com/the.creepyman
1708342970-109,vashikaran specialist,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/2357417779.jpg,Science & Technology,618.0,2.31%,,13.0,0.0,264000.0,4754.0,34851154.0,483.0,https://www.youtube.com/channel/UClCExtPhQcP2aRJGB5Npigw,https://www.instagram.com/vashikaranspecialistsharmaji
1708342978-110,Prashant Sagar (Percy),https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/8514415790.jpg,Science & Technology,621.0,5.31%,333.0,32.0,1.0,66700.0,10246.0,10816776.0,219.0,https://www.youtube.com/channel/UCU0I6ZdmJk_rywaRodLxYDQ,https://www.instagram.com/itsmeprashantsagar
1708342986-111,Vashikaran Guru Ji,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7497242688.jpg,Science & Technology,636.0,2.48%,390.0,15.0,,,,,,,https://www.instagram.com/klguruji
1708342994-112,Rohith B R,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/6848038549.jpg,Science & Technology,661.0,5.90%,562.0,38.0,1.0,104000.0,444164.0,16656956.0,441.0,https://www.youtube.com/channel/UCbMn17XcNcOTg6QslPKP8aw,https://www.instagram.com/rohith_br_1993
1708343002-113,Kalyan Vishwakarma,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/3117399943.jpg,Science & Technology,722.0,5.87%,380.0,40.0,1.0,,,,,,https://www.instagram.com/kalyan_vishwakarma
1708343009-114,AS BANGLA,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/18145920747.jpg,Science & Technology,723.0,0.38%,144.0,2.0,,,,,,,https://www.instagram.com/as_bangla
